Time,Temperature,Humidity,Gas Level,Day
0:00,23.45,55.17,0,1
0:01,23.53,55,0,1
0:02,23.55,55,0,1
0:03,23.53,55,0,1
0:04,23.55,55,0,1
0:05,23.57,54.83,0,1
0:06,23.57,54.83,0,1
0:07,23.55,54.5,0,1
0:08,23.55,54.5,0,1
0:09,23.62,54.67,0,1
0:10,23.6,54.67,0,1
0:11,23.58,54.67,0,1
0:12,23.6,54.67,0,1
0:13,23.6,54.67,0,1
0:14,23.58,54.67,0,1
0:15,23.6,54.67,0,1
0:16,23.58,54.67,0,1
0:17,23.57,54.5,0,1
0:18,23.57,54.5,0,1
0:19,23.57,54.33,0,1
0:20,23.57,54.33,0,1
0:21,23.57,54.5,0,1
0:22,23.65,54.5,0,1
0:23,23.57,54.17,0,1
0:24,23.57,54.17,0,1
0:25,23.52,54.33,0,1
0:26,23.52,54.33,0,1
0:27,23.55,54.33,0,1
0:28,23.55,54.33,0,1
0:29,23.57,54.33,0,1
0:30,23.57,54.33,0,1
0:31,23.57,54.5,0,1
0:32,23.57,54.5,0,1
0:33,23.58,54.5,0,1
0:34,23.58,54.5,0,1
0:35,23.58,54.67,0,1
0:36,23.58,54.67,0,1
0:37,23.6,54.67,0,1
0:38,23.6,54.67,0,1
0:39,23.6,54.67,0,1
0:40,23.6,54.67,0,1
0:41,23.58,54.5,0,1
0:42,23.58,54.5,0,1
0:43,23.6,54.33,0,1
0:44,23.6,54.33,0,1
0:45,23.55,54.33,0,1
0:46,23.55,54.33,0,1
0:47,23.57,54.33,0,1
0:48,23.57,54.33,0,1
0:49,23.57,54.17,0,1
0:50,23.55,54.5,0,1
0:51,23.55,54.5,0,1
0:52,23.53,54.5,0,1
0:53,23.53,54.5,0,1
0:54,23.55,54.33,0,1
0:55,23.48,54.67,0,1
0:56,23.52,54.67,0,1
0:57,23.52,54.67,0,1
0:58,23.52,54.5,0,1
0:59,23.5,54.33,0,1
1:00,23.32,55,0,1
1:01,23.33,55,0,1
1:02,23.37,55,0,1
1:03,23.28,54.83,0,1
1:04,23.28,54.83,0,1
1:05,23.22,54.83,0,1
1:06,23.25,55.33,0,1
1:07,23.02,56,0,1
1:08,23.08,56.67,0,1
1:09,23.07,56.67,0,1
1:10,23.08,56.67,0,1
1:11,23.1,56.5,0,1
1:12,23.1,56.67,0,1
1:13,23.13,56.33,0,1
1:14,23.17,56.33,0,1
1:15,23.17,56.33,0,1
1:16,23.15,56.33,0,1
1:17,23.18,56.33,0,1
1:18,23.2,56.33,0,1
1:19,23.2,56.33,0,1
1:20,23.2,56,0,1
1:21,23.17,56,0,1
