Day,Date,Time,Temperature,Humidity,Gas Level
1,2023-12-12,0,19.19,47.346370622931765,33.70055857842756
1,2023-12-12,1,20.04,51.73975404926788,27.11638141047636
1,2023-12-12,2,21.03,49.57966227267493,28.187659654980585
1,2023-12-12,3,19.7,50.322877627459455,33.98105213595176
1,2023-12-12,4,18.63,51.62336986821557,29.134057400857557
1,2023-12-12,5,18.48,51.01919064514674,33.360530229796254
1,2023-12-12,6,20.31,44.488997573343966,32.59224319688245
1,2023-12-12,7,20.11,42.774417172073555,29.07013649869154
1,2023-12-12,8,20.0,43.02601801558207,34.09572983847326
1,2023-12-12,9,19.9,50.92933327735092,28.380466897862767
1,2023-12-12,10,20.3,49.175894931999224,37.87999884438795
1,2023-12-12,11,20.78,46.75740411214619,34.987537140069804
1,2023-12-12,12,21.5,52.15455070892647,28.26732605476479
1,2023-12-12,13,22.26,50.641228461285436,31.394547765058448
1,2023-12-12,14,21.89,58.23756249931607,31.79376856243169
1,2023-12-12,15,22.2,54.714151797599186,35.68452686963614
1,2023-12-12,16,20.56,45.84234555868291,28.622055794740717
1,2023-12-12,17,22.09,52.14650666688741,32.66591306497372
1,2023-12-12,18,22.0,52.59603297088891,35.10633581642611
1,2023-12-12,19,21.91,51.209372792200895,37.707215775723796
1,2023-12-12,20,19.69,52.59573024881938,32.59041975023359
1,2023-12-12,21,20.52,51.95675995476384,29.624797637784035
1,2023-12-12,22,20.44,55.60743966253452,29.975677259421605
1,2023-12-12,23,19.29,44.55957961025956,32.620348774569095
2,2023-12-13,0,18.9,47.84874221640243,27.61696808462547
2,2023-12-13,1,20.53,43.91463524050066,33.18341969628194
2,2023-12-13,2,20.1,53.01205011116104,31.027299180334456
2,2023-12-13,3,17.77,49.913828749091394,30.180736881246343
2,2023-12-13,4,17.57,50.340116099395615,30.70198958620739
2,2023-12-13,5,18.51,52.229065991524685,33.442339682354906
2,2023-12-13,6,17.28,41.20146811931,28.047098853561813
2,2023-12-13,7,17.13,47.336093271804735,35.58207934244636
2,2023-12-13,8,17.8,51.18168182144812,29.590130822371297
2,2023-12-13,9,17.96,43.23159087077159,35.28458024467684
2,2023-12-13,10,18.94,46.91180668616427,30.13080945792069
2,2023-12-13,11,20.98,45.65132680466564,37.148495271405416
2,2023-12-13,12,19.5,46.2425730549765,29.723047833241832
2,2023-12-13,13,20.26,49.481786158855385,37.83797532915104
2,2023-12-13,14,21.89,52.00598516405394,29.154753401044093
2,2023-12-13,15,23.2,48.60692063278138,33.790040785138245
2,2023-12-13,16,23.62,48.34054142701632,32.80915218630389
2,2023-12-13,17,24.14,46.71175386531529,34.90443921812893
2,2023-12-13,18,22.09,50.38230282499231,29.4548848611027
2,2023-12-13,19,21.41,48.83706000910921,35.82841387419444
2,2023-12-13,20,20.24,56.39597427727048,28.25083049350683
2,2023-12-13,21,19.76,45.80726486317712,30.71866602399053
2,2023-12-13,22,20.34,57.047881827548906,29.981493788926894
2,2023-12-13,23,21.11,56.794567539868154,27.6941711123719
3,2023-12-14,0,22.0,49.9514916241814,31.20411855040393
3,2023-12-14,1,21.77,50.029949806431276,33.314339415674716
3,2023-12-14,2,21.32,43.41222579909062,27.75113535898353
3,2023-12-14,3,18.88,46.23241332839625,33.351294295878205
3,2023-12-14,4,18.63,47.06179395372832,30.930827086752124
3,2023-12-14,5,20.4,48.70790611661104,33.907767514383565
3,2023-12-14,6,19.21,45.03780402773852,27.22344972294204
3,2023-12-14,7,19.99,47.80578015933487,28.05890307620321
3,2023-12-14,8,19.54,53.81098503048726,30.485991103010967
3,2023-12-14,9,19.34,52.364129652160784,31.84411901544328
3,2023-12-14,10,19.25,53.5793463811854,33.17680339150981
3,2023-12-14,11,19.75,46.215493791335135,36.37120437785504
3,2023-12-14,12,20.76,51.911642210298396,33.50686784593517
3,2023-12-14,13,20.16,43.031898277044014,31.10913322075735
3,2023-12-14,14,23.38,51.85150828173042,34.555392967767176
3,2023-12-14,15,22.1,45.69902711566658,29.9393984895402
3,2023-12-14,16,20.9,51.983830645895154,30.767306447964454
3,2023-12-14,17,23.16,53.61999051716904,34.254988982488655
3,2023-12-14,18,24.29,52.20555196827553,28.16537122211404
3,2023-12-14,19,22.8,58.91822418037792,34.19467525744255
3,2023-12-14,20,22.07,53.38844951564728,35.578051661153495
3,2023-12-14,21,20.97,56.30473839758584,28.553246040353308
3,2023-12-14,22,21.59,42.5844206281193,27.01591086641256
