Day,Time,Temperature,Humidity,Gas Level
1,0,23.563499999999998,54.54183333333334,0.0
1,1,23.0885,56.12516666666667,0.0
1,2,23.003,55.96083333333333,0.0
1,3,22.913333333333334,55.43333333333333,0.0
1,4,22.690166666666666,55.44583333333333,0.0
1,5,22.521833333333333,55.291333333333334,0.0
1,6,22.438666666666666,55.36383333333333,0.0
1,7,22.289833333333334,54.9945,0.0
1,8,22.188,54.525666666666666,0.0
1,9,22.036166666666666,53.89116666666666,0.0
1,10,22.029,53.659,0.0
1,11,21.697666666666667,54.15383333333333,0.0
1,12,21.6295,54.419333333333334,0.0
1,13,21.482833333333335,54.529333333333334,0.0
1,14,21.308333333333334,54.58833333333334,0.0
1,15,21.110166666666668,54.9565,0.0
1,16,20.99816666666667,55.349333333333334,0.0
1,17,20.90083333333333,56.5835,0.0
1,18,21.300166666666666,55.56366666666667,0.0
1,19,21.78083333333333,54.99733333333334,0.0
1,20,22.496166666666667,54.17833333333333,0.0
1,21,23.258166666666668,53.0445,0.0
1,22,23.894166666666667,51.577666666666666,0.0
1,23,24.197166666666664,49.867,0.0
2,0,25.623833333333334,38.75016666666667,0.0
2,1,25.140819672131148,38.931311475409835,0.0
2,2,24.09360655737705,44.39377049180328,0.0
2,3,23.41360655737705,48.53262295081967,0.0
2,4,23.243666666666666,48.48016666666667,0.0
2,5,22.75688524590164,50.34180327868852,0.0
2,6,22.341833333333334,51.80216666666667,0.0
2,7,22.112833333333334,52.2065,0.0
2,8,21.895409836065575,53.13622950819672,0.0
2,9,21.532500000000002,54.318999999999996,0.0
2,10,21.102295081967213,54.32196721311475,0.0
2,11,20.768852459016394,54.50081967213115,0.0
2,12,20.56967213114754,54.95098360655738,0.0
2,13,20.507333333333335,55.094500000000004,0.0
2,14,20.275081967213115,55.30311475409836,0.0
2,15,20.1325,55.049499999999995,0.0
2,16,19.79590163934426,55.6144262295082,0.0
2,17,19.95672131147541,56.486393442622955,0.0
2,18,20.941147540983607,54.69426229508196,0.0
2,19,21.982622950819675,53.67245901639344,0.0
2,20,22.496166666666667,54.17833333333333,0.0
2,21,23.258166666666668,53.0445,0.0
2,22,23.894166666666667,51.577666666666666,0.0
2,23,24.197166666666664,49.867,0.0
3,0,23.900357142857143,48.642857142857146,0.0
3,1,25.157866666666667,43.5308,0.0
3,2,25.28655737704918,41.28704918032787,0.0
3,3,24.80290322580645,44.22,0.0
3,4,24.067,48.20233333333333,0.0
3,5,23.96688524590164,48.62245901639344,0.0
3,6,23.593166666666665,50.26833333333333,0.0
3,7,23.241311475409837,51.72918032786885,0.0
3,8,22.997333333333334,52.49666666666667,0.0
3,9,22.771333333333335,53.18533333333333,0.0
3,10,22.317,53.86683333333334,0.0
3,11,21.884426229508197,53.94426229508196,0.0
3,12,21.627333333333333,54.075,0.0
3,13,21.40081967213115,54.28426229508197,0.0
3,14,21.205333333333332,54.410666666666664,0.0
3,15,20.994333333333334,54.448166666666665,0.0
3,16,20.543,54.27166666666667,0.0
3,17,20.34416666666667,54.491,0.0
3,18,20.245573770491802,55.253934426229506,0.0
3,19,20.745833333333334,56.77766666666666,0.0
3,20,21.759999999999998,57.3475,0.0
3,21,23.158360655737706,57.292131147540985,0.0
3,22,24.38032786885246,56.28655737704918,0.0
3,23,25.09622950819672,54.91016393442623,0.0
4,0,25.648813559322033,53.34508474576271,0.0
4,1,26.11916666666667,50.89149999999999,0.0
4,2,25.95311475409836,49.95360655737705,0.0
4,3,25.407213114754096,52.01918032786885,0.0
4,4,24.692833333333333,54.375,0.0
4,5,24.092950819672133,54.940000000000005,0.0
4,6,23.753709677419355,55.616290322580646,0.0
4,7,23.594754098360657,56.308196721311475,0.0
4,8,23.219833333333334,56.166666666666664,0.0
